scoreset,n_samples,mse,rmse,mae,r2
urn:mavedb:00000740-a-1,767,0.09549043712588103,0.3090152700529232,0.21871228692440028,0.21182416065521237
urn:mavedb:00001005-a-1,229,0.09763631115617372,0.3124680962213162,0.21298313357935733,0.8677012235560388
urn:mavedb:00001074-a-1,550,0.10915077893546916,0.33037974958442773,0.2561645963231799,0.3547386886729744
urn:mavedb:00001082-a-1,701,0.10961112803539133,0.3310757134484366,0.26602998033374736,0.34183222902811927
urn:mavedb:00001177-a-1,260,0.1106909659961758,0.3327025187704112,0.24681025834157833,0.34722835967497956
urn:mavedb:00000702-a-1,382,0.11154123186815706,0.3339778912864698,0.2127203199574486,0.13567257966381985
urn:mavedb:00000703-a-1,543,0.11913725705913768,0.3451626530480053,0.2631856035955516,0.3455485036736552
urn:mavedb:00000115-a-3,1744,0.12155921687881283,0.3486534337688542,0.2476089430740891,0.5060922837069637
urn:mavedb:00001187-a-1,273,0.12972646318317188,0.36017560048283653,0.22415204575615896,-0.06475300022322861
urn:mavedb:00001170-a-1,278,0.14281011042475997,0.37790224982759757,0.2827243792784219,0.532406054166419
urn:mavedb:00000987-a-1,258,0.14403612696035942,0.3795209176848615,0.30342439110423347,0.3818514419757345
urn:mavedb:00001172-a-1,297,0.1456345521591777,0.38162095351169817,0.24417954894558971,0.0012402219917760915
urn:mavedb:00001098-a-1,609,0.1484999927017979,0.38535696789054935,0.26940149915703576,0.29313501294471045
urn:mavedb:00000078-a-1,472,0.1657062437241183,0.40707031791094556,0.3373558866567487,0.07408504263559079
urn:mavedb:00001004-a-1,307,0.1729058629527244,0.4158195076625487,0.2328080784275325,0.2116201975327704
urn:mavedb:00000081-a-2,1602,0.17485118568281754,0.41815210830846894,0.25212247700150636,0.23262897605972255
urn:mavedb:00000722-a-1,367,0.18228241700278316,0.4269454496803815,0.25000763617157545,-0.9877784280894235
urn:mavedb:00000659-a-1,3787,0.20375950492730638,0.4513972805936101,0.3364951234576517,0.3137953616227782
urn:mavedb:00001139-a-1,389,0.2267081450394749,0.47613878758138883,0.2803776378130073,0.22425753990903097
urn:mavedb:00000094-a-2,2448,0.2285886516695367,0.47810945574160807,0.32492069770251,0.1331594259397736
urn:mavedb:00001158-a-1,260,0.2534251928674885,0.503413540608006,0.28228176485340445,-0.8114363346101228
urn:mavedb:00000081-a-1,678,0.5387446157910051,0.7339922450482738,0.26595136526670743,0.06628369437121151
urn:mavedb:00000094-a-6,140,0.6862491307740922,0.8284015516487715,0.73548927287949,-13.082276043241311
urn:mavedb:00000069-a-1,1400,0.7870753327665201,0.8871726623191903,0.6652605503831284,0.5291703785534552
urn:mavedb:00000069-a-2,1400,0.8240483883767331,0.9077711101245364,0.6303175394224783,0.476325509255487
urn:mavedb:00000103-a-1,4080,0.9624880246526386,0.981064740296296,0.6813442547485264,0.06289644709197018
urn:mavedb:00000103-b-1,4080,1.1347815634605063,1.0652612653525455,0.7588496026885091,0.16805147216257343
urn:mavedb:00000106-b-1,126,1.5903927962707138,1.2611077655262908,0.8628866454411471,-0.14676540152361284
urn:mavedb:00000106-a-1,126,2.2661248461425916,1.5053653530431048,0.9942107800132339,-0.15360407396310483
urn:mavedb:00000106-c-1,126,3.2757159221723833,1.8098938980427508,1.1607134423773935,-0.43023906081132246
urn:mavedb:00000103-d-1,4080,4.125003355314288,2.031010427180099,1.612435219979134,0.18373168716538768
urn:mavedb:00000664-a-3,180,5.322977565146796,2.307157897749262,1.6404478755934884,0.30308394056771004
urn:mavedb:00000103-c-1,4080,6.432863733110473,2.5363090768103307,1.9331932403338243,0.0903876742788482
urn:mavedb:00000664-a-6,180,9.231963359313491,3.038414612806075,1.9724357851601384,-0.11760167474677474
urn:mavedb:00000094-a-5,494,33.23125481836912,5.764655654795794,4.3710307638338115,-0.2155273024920379
urn:mavedb:00000094-a-3,2042,51.37860786979967,7.167887266817167,5.135416247856864,0.023092394781030312
urn:mavedb:00000094-a-7,140,63.42658886697338,7.964081169034717,5.803124001642424,-0.13282356473529333
urn:mavedb:00000664-a-5,142,635.6582042495721,25.212262973592278,24.9664437091633,-49.610358883330484
urn:mavedb:00000664-a-1,180,3901.016146471911,62.458115137041325,39.42431334628052,-0.5073230593186278
urn:mavedb:00000664-a-4,180,9493.120618161343,97.43264657270346,86.24318938862721,-3.230657540932918
